time,logger,level,message,exception
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1069 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1069', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1070 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1070', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1071 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1071', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1072 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1072', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1073 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1073', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1074 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1074', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1075 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1075', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1076 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1076', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1077 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1077', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1078 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1078', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1079 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1079', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1080 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1080', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1081 and etag ,
2011-08-06 14:05:42.4582,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1081', update: False, ",
2011-08-06 14:05:42.4582,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1082 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1082', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1083 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1083', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1084 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1084', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1085 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1085', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1086 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1086', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1087 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1087', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1088 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1088', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1089 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1089', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1090 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1090', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1091 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1091', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1092 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1092', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1093 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1093', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1094 and etag ,
2011-08-06 14:05:42.4932,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1094', update: False, ",
2011-08-06 14:05:42.4932,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1095 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1095', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1096 and etag ,
